PG.ProteinGroups	PG.ProteinDescriptions	[1] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_1.raw.PG.Quantity	[2] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_2.raw.PG.Quantity	[3] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_3.raw.PG.Quantity	[4] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_4.raw.PG.Quantity	[5] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_5.raw.PG.Quantity	[6] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_6.raw.PG.Quantity	[7] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_7.raw.PG.Quantity	[8] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_8.raw.PG.Quantity	[9] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_9.raw.PG.Quantity	[10] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_28.raw.PG.Quantity	[11] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_29.raw.PG.Quantity	[12] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_30.raw.PG.Quantity	[13] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_31.raw.PG.Quantity	[14] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_32.raw.PG.Quantity	[15] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_33.raw.PG.Quantity	[16] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_34.raw.PG.Quantity	[17] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_35.raw.PG.Quantity	[18] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_36.raw.PG.Quantity
A0A060ZB07	Regulatory protein ArsR	17078.384765625	16209.5283203125	1.3121947050094604	22498.626953125	24823.484375	21588.748046875	12767.078125	15853.5888671875	Filtered	27404.779296875	40308.25	1.7008869647979736	50078.17578125	31231.41015625	Filtered	Filtered	15536.611328125	126489.7734375
A0A060ZB33	Regulatory protein ArsR	13516.35546875	21824.966796875	18595.427734375	10884.130859375	35304.16796875	10624.580078125	14696.1005859375	18452.611328125	16551.79296875	23891.087890625	12604.5146484375	20584.603515625	Filtered	18238.271484375	14497.986328125	3235.924072265625	8093.13671875	1.799576759338379
A0A060ZB39	Regulatory protein MarR	148145.359375	103422.328125	106388.1484375	81573.859375	87124.65625	101453.0703125	45375.578125	65973.890625	54210.3671875	83625.78125	84696.625	148485.6875	Filtered	71007.6171875	59323.53515625	35261.77734375	35759.98046875	39346.4140625
A0A060ZB63;A0A061A0A1	Acyl-CoA dehydrogenase domain-containingprotein	35157.96875	49871.2734375	67292.0234375	Filtered	Filtered	Filtered	23772.79296875	18658.494140625	7073.7734375	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	23006.65234375	9150.4990234375	Filtered
A0A060ZB80	Transcriptional regulator, GntR family	Filtered	6466.9443359375	Filtered	2646.871337890625	11154.5048828125	Filtered	2054.465576171875	8809.484375	3556.48291015625	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	1312.521728515625	2.3351776599884033
A0A060ZB87	4-phytase	47939.8359375	29663.068359375	17125.037109375	Filtered	Filtered	Filtered	Filtered	NaN	4299.50537109375	165134.34375	Filtered	Filtered	Filtered	Filtered	Filtered	11164.6201171875	16923.76171875	17522.9921875
A0A060ZBA0	Cytochrome P450	1409621.125	1689154.125	1915535.875	1571501.5	1501451.625	1641129	2146509	1839398.125	2370701	1725291.625	1577219.375	1710592.875	1338566.625	504121.90625	711471.625	2628390.75	2492778	2261158.5
A0A060ZBC6	Beta-ketoacyl synthase	276597.125	31256.60546875	50649.05859375	NaN	18193.48828125	79732.4609375	62608.2421875	168074.421875	83012.3828125	479288.46875	115599.390625	45216.015625	Filtered	Filtered	Filtered	54535.3125	44197.88671875	774080.125
A0A060ZBD2	Beta-ketoacyl synthase	9074.791015625	6202.30419921875	3238.850341796875	Filtered	Filtered	NaN	1769.69140625	8164.1298828125	2569.708984375	NaN	Filtered	Filtered	Filtered	Filtered	Filtered	22893.90234375	13257.7568359375	34912.3359375
A0A060ZBE5	Regulatory protein TetR	57552.08203125	15225.4287109375	23850.88671875	23959.603515625	24058.390625	22582.4140625	17514.748046875	17532.9921875	16653.46875	47775.66796875	34988.98828125	39196.56640625	Filtered	Filtered	98.27665710449219	2187.802734375	10638.990234375	6194.17919921875
A0A060ZBF3	Regulatory protein TetR	54004.78515625	69026.9765625	50476.796875	74443.234375	82174.6171875	61598.9296875	59848.94140625	41157.5390625	52455.296875	50270.21875	66278.578125	49978.46875	Filtered	60120.75390625	Filtered	60859.59375	61402.328125	24586.560546875
A0A060ZBF4	ArsR family transcriptional regulator	189846.640625	18381.751953125	57524.22265625	15288.5498046875	16562.990234375	35604.73828125	31264.263671875	42507.09765625	60692.5078125	61749.078125	25166.470703125	Filtered	Filtered	Filtered	Filtered	21489.25390625	33086.39453125	25759.546875
A0A060ZBF8	SBD domain-containing protein	8051.130859375	NaN	818.3597412109375	18158.80859375	11974.0966796875	12982.458984375	3725.552978515625	3335.9033203125	3905.993896484375	933039.1875	1755362.125	1214075.375	2497219.75	6547626.5	7750265	978.74267578125	1103.24560546875	1973.744140625
A0A060ZBF9	NmrA family protein	88601.65625	78504.21875	103786.3125	127347.03125	138579.390625	136221.421875	54179.84765625	81525.25	72663.0859375	140358.796875	124072.0625	146128.8125	Filtered	62068.22265625	68806.796875	62511.96875	77213.65625	84770.5
A0A060ZBG2	Methyltransferase type 11	119176.375	86923.1796875	88281.53125	25255.88671875	22332.943359375	19235.65234375	83025.15625	94445.6875	107270.984375	124995.1953125	113656.5546875	113494.9453125	Filtered	49492.734375	6841.6455078125	56644.34375	87649.453125	46341.078125
A0A060ZBH8	Lipoprotein	103378.421875	114420.78125	90665.078125	60217.30078125	59435.18359375	77368.6796875	88622.765625	85518.28125	81622.3984375	188759.53125	179427.1875	149316.078125	275411.625	68608.6875	79499.2265625	80105.0625	49133.734375	73871.1328125
A0A060ZBJ2	Aminoglycoside phosphotransferase	69911.9453125	22177.322265625	18472.783203125	19914.982421875	23753.677734375	12715.375	48061.3671875	40587.53125	39099.2890625	40832.28125	20236.513671875	24626.890625	93233.3984375	111853.6953125	823.4480590820312	23675.7265625	25762.9375	12279.6845703125
A0A060ZBK7	GntR domain protein	165646.90625	38637.85546875	74331.1953125	174165.875	146983.4375	85575.84375	93471.0078125	72611.3984375	158140.203125	132006.828125	182625.609375	85568.578125	Filtered	35080.19921875	203745.140625	105962.25	66255.6328125	60977.35546875
A0A060ZBL7	Transcriptional regulator, LacI family	155025.484375	34042.91796875	36169.84375	47680.17578125	39254.3359375	34324.6484375	76556.390625	68802.9921875	83598.2890625	60894.36328125	49357.91015625	71811.4296875	Filtered	34.73569869995117	Filtered	51597.63671875	32972.75390625	48797.03125
A0A060ZBM4	Nucleotidyl transferase AbiEii toxin, Type IV TA system	19378.724609375	11862.595703125	13267.662109375	24933.2265625	9914.111328125	21766.48046875	16653.494140625	19841.166015625	16756.302734375	45962.55859375	43727.42578125	30230.291015625	Filtered	49659.0859375	Filtered	21740.6484375	27065.130859375	29013.76953125
A0A060ZBQ3	Transcriptional regulator, GntR family	7335.0126953125	6391.4287109375	10853.830078125	2139.319091796875	13562.90625	10716.4150390625	Filtered	Filtered	Filtered	11708.4208984375	4947.24755859375	13117.875	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered
A0A060ZBQ5	DNA-binding protein	3298.723388671875	Filtered	3037.366943359375	4135.666015625	3898.958251953125	7816.71240234375	4756.75244140625	Filtered	1586.9000244140625	6575.63671875	Filtered	5575.15625	138713.34375	Filtered	Filtered	Filtered	Filtered	3338.869384765625
A0A060ZBR3	Glycosyltransferase, MGT family	113398.0859375	108407.671875	72835.7109375	213107.84375	234791.78125	212505.3125	62302.390625	76279.7578125	116474.3125	353457.84375	242923.65625	279837.34375	114716.59375	487674.4375	76051.5234375	57194.609375	93173.3984375	140645.03125
A0A060ZBS2	HSP18 transcriptional regulator	6435.5712890625	10251.9404296875	15390.810546875	6905.8798828125	5073.55810546875	4815.525390625	Filtered	7167.09716796875	Filtered	4501.69482421875	6727.73876953125	11567.234375	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered
A0A060ZBS4	Nitroreductase domain-containing protein	714820	1308736.625	1327012.875	656028.625	Filtered	34919.4765625	63040.484375	1000672.0625	89258.5234375	3140532.25	2132954.25	1612399.25	Filtered	Filtered	Filtered	25919.076171875	1221073.375	25723.248046875
A0A060ZBS8	Alpha/beta hydrolase	200252.015625	97080.546875	123598.6796875	76049.8359375	91541.5703125	105444.2265625	141041.09375	119720.2265625	99427.625	254599.515625	207858.25	276406.03125	Filtered	Filtered	Filtered	95247.984375	111044.5078125	33985.45703125
A0A060ZBU0	Methyltransferase type 11	18399.814453125	15480.6845703125	18371.39453125	1546.687744140625	1420.318115234375	Filtered	23431.865234375	17887.828125	32518.88671875	39135.52734375	50002.44140625	39309.67578125	Filtered	Filtered	Filtered	40691.97265625	44112.18359375	20487.8125
A0A060ZBU4	Transcriptional regulator, LacI family	8043.873046875	6684.62646484375	4629.6982421875	8121.021484375	4438.759765625	5977.5849609375	12308.5146484375	34982.91015625	12657.4150390625	8522.6435546875	7166.380859375	10794.92578125	Filtered	Filtered	Filtered	NaN	5913.15234375	Filtered
A0A060ZBV1	ABC transporter related protein	154507.140625	62729.2421875	138377.21875	225192.390625	170989.3125	200785.5	74338.4609375	86426.4765625	75127.6015625	80582.96875	84833.0078125	113262.0078125	Filtered	128241.9140625	38130.11328125	85778.40625	74295.3125	59082.3671875
A0A060ZBV9	Glycoside hydrolase family 43	Filtered	98597.8125	Filtered	Filtered	Filtered	5412.35498046875	Filtered	Filtered	Filtered	Filtered	Filtered	140072.171875	215912.1875	Filtered	Filtered	Filtered	37607.94921875	Filtered
A0A060ZBW2	Serine hydroxymethyltransferase	192021.03125	249328.953125	212563.625	117365.6328125	65665.4375	97203.9375	943626.9375	946899.0625	844007.375	336135.90625	633985.875	802198.875	357083.78125	64817.59765625	18950.828125	430307.375	645709.0625	425305.5625
A0A060ZBW9	Regulatory protein TetR	20464.708984375	4104.49658203125	4584.21044921875	162499.59375	124777.15625	123194.3203125	18966.087890625	27320.5078125	18580.041015625	66117.7890625	46691.26953125	38446.99609375	Filtered	Filtered	Filtered	23688.76171875	20125.0390625	28776.62109375
A0A060ZBZ1	Pyoverdine biosynthesis protein PvcA	471122.09375	213904.921875	497238.09375	188251.1875	34713.44140625	86335.4375	35088.33203125	22611.3125	25762.08203125	38004.9765625	61995.30859375	104613.7265625	Filtered	245639.640625	186454.75	16410.990234375	42237.04296875	102.03005981445312
A0A060ZBZ2	MbtH domain protein	941971.5625	985088.3125	1218784.75	1383345	1596427.75	1480966.875	129257.0390625	112272.3046875	49746.54296875	102904.8203125	143129.28125	46101.1953125	167894.046875	31690.392578125	52493.96875	34773.9453125	19374.291015625	25449.26171875
A0A060ZBZ5	ABC transporter iron(III)/siderophore permeaseprotein	122325.6015625	25206.208984375	39268.57421875	9967.8955078125	18887.564453125	10840.2177734375	14045.5751953125	16483.40625	7302.6416015625	118864.6640625	102458.078125	145119	Filtered	Filtered	Filtered	14311.6064453125	15174.578125	4843.80712890625
A0A060ZBZ8	ABC-type transporter, periplasmic subunit	2659713.5	2011073.75	1585176.75	1938053	1638354	1935117	323077.34375	203651.359375	190006.15625	2338645.25	1995030.75	2206015	1529320.75	1984417	2457648	355685.96875	169718.296875	236710.578125
A0A060ZC02	Methionyl-tRNA formyltransferase	8597698	7924245	5526197	7919431	7245102	6981766	4198443.5	4426898	3471066	3093627.25	2246365.75	2515830.5	1842705.25	1363075.5	2447042.75	3466099.25	3984046	3319275.75
A0A060ZC05	Sarcosine oxidase subunit alpha	66452.2265625	54617.51953125	92396	30606.23828125	210138.59375	49560.953125	60198.97265625	61621.609375	78169.8359375	94700.0234375	143330.734375	179127.765625	Filtered	3717.6884765625	Filtered	78446.03125	73662.828125	104432.078125
A0A060ZC06	NmrA family protein	32628.54296875	38393.9453125	37050.66796875	30284.85546875	26600.162109375	20125.453125	26241.845703125	30388.193359375	25659.916015625	29319.265625	23392.873046875	28162.345703125	Filtered	22910.046875	Filtered	13824.947265625	14019.9404296875	9419.41796875
A0A060ZC14	Carboxymethylenebutenolidase	20012.400390625	34215.859375	25211.51171875	43568.39453125	65257.53515625	50032.65234375	9077.7626953125	17834.00390625	43922.4453125	49459.8046875	32033.03125	29132.302734375	25204.861328125	79889.375	47529.00390625	4370.8837890625	4864.2333984375	5485.59033203125
A0A060ZC16	FAD-binding molybdopterin dehydrogenase	35907.48828125	5736.86962890625	8375.7158203125	0.36149317026138306	5405.5791015625	Filtered	Filtered	577.4605102539062	Filtered	1663.1685791015625	Filtered	455.418701171875	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered
A0A060ZC30	Rod shape-determining protein MreB	NaN	Filtered	9597.0673828125	44449.2734375	41542.82421875	47937.14453125	Filtered	NaN	Filtered	115721.9453125	300779.6875	355423.6875	47708.76171875	Filtered	Filtered	1228.79296875	Filtered	Filtered
A0A060ZC33	Oxidoreductase	17097.966796875	14090.59765625	5214.404296875	3829.81640625	68.6504898071289	3053.204833984375	5802.26123046875	4450.82373046875	9841.03125	11278.9423828125	12414.23828125	5784.25634765625	Filtered	Filtered	Filtered	5980.22216796875	5337.8173828125	Filtered
A0A060ZC37	Metal transporter ATPase	101590.375	183288.875	122471.6875	43576.65234375	18432.080078125	36556.74609375	28096.546875	38518.71875	29278.80078125	77166.8203125	65608.6875	85048.40625	34392.21484375	171.2306365966797	125802.8359375	47375.26171875	42127.80859375	9847.33984375
A0A060ZC42	EmrB/QacA family drug resistance transporter	6271.25537109375	6614.830078125	2919.291748046875	1878.2373046875	2655.550537109375	Filtered	Filtered	Filtered	Filtered	9247.724609375	9410.3427734375	12685.8466796875	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered
A0A060ZC49	Lipoprotein	117503.3125	93387.625	91861.1796875	259012.078125	170275.28125	212278.46875	42730.703125	3029.1630859375	285133.5	93919.53125	98923.546875	73152.7265625	Filtered	323886.625	313156.46875	65540.8515625	56042.3984375	2975675.25
A0A060ZC51	Regulatory protein MarR	9126.5791015625	3056.9853515625	4679.92236328125	5696.595703125	2996.837158203125	NaN	6887.38671875	7217.923828125	12219.1103515625	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	2641.5634765625
A0A060ZC71	AMP-dependent synthetase and ligase	297436.28125	140279.890625	142900.59375	253991.84375	61561.87890625	118766.1328125	73678.234375	93737.0234375	78904.140625	57113.32421875	68376.0078125	94300.8203125	Filtered	104570.34375	96780.40625	115349.1171875	107692.9765625	97785.0703125
A0A060ZC79	GntR domain protein	97110.390625	28451.953125	35534.83984375	80003.9765625	55508.203125	70670.3984375	34083.9296875	6005.85791015625	21576.599609375	116919.171875	111801.4140625	112313.328125	Filtered	244188.984375	74750.2578125	9697.771484375	12267.6630859375	Filtered
A0A060ZC83	Regulatory protein TetR	196709.515625	212894.015625	145389.25	158463.015625	130200.3515625	125397.3828125	140756.640625	153136.875	154347.921875	147854.953125	85818.1875	170903.296875	273429.15625	90.66535949707031	136574.625	27404.04296875	61918.796875	99373.0625
A0A060ZC88	TraR/DksA family transcriptional regulator	1756.3411865234375	NaN	NaN	360584.15625	32266.537109375	507086.15625	7.496344089508057	NaN	Filtered	4973334.5	1248366.875	866288.125	3495699.5	2586.218505859375	21471.904296875	15.905305862426758	Filtered	27.269834518432617
A0A060ZC92	Peptidase M24	413244.9375	541121.875	385088.8125	1258187.875	1048846.625	1240819.375	34720.34765625	57695.26953125	54817.58203125	179958	189739.78125	98202.2265625	291523.5	209059.265625	280632.46875	78109.90625	45455.79296875	100685.1328125
A0A060ZC97	PH domain-containing protein	Filtered	817.5383911132812	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	10940.06640625
A0A060ZCA0	Amidohydrolase	64110.03515625	91477.125	72703.6484375	176582.03125	211110.28125	174879.6875	79312.9296875	91360.171875	101547.515625	248578.515625	174845.578125	202353.03125	54.77975082397461	Filtered	71639.953125	82949.921875	73418.8125	82395.53125
A0A060ZCA9	Extracellular solute-binding protein family 1	69780.5234375	7795.943359375	38709.10546875	144801.4375	78215.109375	86487.3203125	7.200295448303223	3058.344482421875	24406.791015625	128456.1640625	79420.90625	81068.078125	1117176.75	8235.1611328125	Filtered	62.367530822753906	40.56075668334961	7120.02685546875
A0A060ZCB9	Short-chain dehydrogenase/reductase SDR	15567.3369140625	5796.2041015625	12775.57421875	7054.83935546875	11826.9501953125	4271.3115234375	15397.4345703125	6559.18310546875	8138.515625	21355.353515625	19790.916015625	20011.685546875	Filtered	Filtered	Filtered	13281.2099609375	11367.2021484375	Filtered
A0A060ZCC7	Peptide methionine sulfoxide reductase MsrA	476847.625	491986.71875	478767.0625	210916.65625	142141.78125	206835.171875	453323.4375	442128.5625	400846.875	272184.90625	325819.15625	292842.875	351560.15625	115654.296875	208748.5625	612032.625	545135.5	499154.375
A0A060ZCD2	Short-chain dehydrogenase/reductase SDR	140991.546875	75310.7734375	313054.03125	19898.7109375	24333.37109375	Filtered	45975.734375	250580.828125	Filtered	56932.6875	56088.55859375	67065.6796875	Filtered	Filtered	Filtered	73465.6484375	182198.46875	495598.75
A0A060ZCD4	Aliphatic sulfonates family ABC transporter,periplasmic ligand-binding protein	35109.0546875	22049.8125	33495.63671875	1937.844970703125	43268.9453125	7074.40966796875	Filtered	Filtered	NaN	16529.97265625	2603.1318359375	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered
A0A060ZCD5	Allophanate hydrolase subunit 1	Filtered	Filtered	Filtered	33956.109375	28541.427734375	30879.5	Filtered	Filtered	Filtered	Filtered	40119.1015625	Filtered	1289933.375	120855.9453125	138075.71875	Filtered	Filtered	Filtered
A0A060ZCF8	Regulatory protein TetR	228950.625	56952.7421875	48881.6953125	6699.05322265625	51699.5390625	62737.890625	63743.87890625	75351.5	94054.671875	108064.0078125	63969.6328125	169514.96875	Filtered	Filtered	Filtered	45577.42578125	39904.87890625	41462.5703125
A0A060ZCH4	Ester cyclase	59159.6796875	55361.91015625	47619.7890625	63612.84375	56556.04296875	64808.20703125	53072.6875	59295.01171875	41767.29296875	68006.015625	58889.6171875	57823.91796875	Filtered	Filtered	Filtered	45526.3046875	43974.046875	57671.28125
A0A060ZCH8	Inositol monophosphatase	41385.1953125	27760.984375	34418.609375	25976.90625	12837.2646484375	26545.4453125	35196.85546875	30591.091796875	45239.25390625	20800.005859375	24914.712890625	33773.14453125	Filtered	35383.453125	Filtered	6006.896484375	21480.833984375	2695.7041015625
A0A060ZCI2	Enterochelin esterase	219553.640625	162538.421875	128953.3046875	62891.41015625	74619.625	82712.453125	55557.515625	69421.4765625	52452.81640625	64010.640625	27173.37109375	17873.126953125	Filtered	Filtered	Filtered	103555.671875	91266.296875	117821.6328125
A0A060ZCI7	Glycosyltransferase family 1 protein	36988.890625	17228.236328125	10105.8828125	4467.67919921875	14773.361328125	9922.4697265625	19283.01953125	12336.4375	NaN	41404.28125	42790.59375	42249.11328125	Filtered	62519.85546875	87522.7265625	Filtered	Filtered	Filtered
A0A060ZCI9	ABC transporter related protein	1015610.625	1056591.375	991323.4375	1673401.75	1788343.625	1518409.75	335866.40625	369442.09375	405004.9375	99618.9375	116886.03125	119205.5546875	144.39048767089844	46.74127197265625	1269.8155517578125	199191.984375	208138.6875	159114.640625
A0A060ZCJ6	Transcriptional regulator, GntR family protein	63578.15234375	78847.78125	75440.09375	35442.828125	38181.84765625	32385.810546875	51827.84375	59581.25	61343.84765625	69652.4921875	70285.3671875	78889.203125	Filtered	110641.75	Filtered	44165.7734375	50898.21484375	55777.72265625
A0A060ZCK3	Sarcosine oxidase gamma subunit	10027.6572265625	6827.16357421875	9904.0400390625	15105.4169921875	2732.633056640625	5127.4345703125	31699.2578125	24258	28816.21875	49226.4453125	94480.984375	94122.7890625	Filtered	Filtered	Filtered	22055.6640625	17823.755859375	3821.6875
A0A060ZCK9	Pirin domain protein	5920.83251953125	9825.388671875	11739.7294921875	8815.2158203125	Filtered	4706.28369140625	7606.94287109375	11358.76953125	18603.447265625	26510.9140625	29333.794921875	14374.033203125	Filtered	Filtered	Filtered	Filtered	26358.947265625	Filtered
A0A060ZCL7	FAD dependent oxidoreductase	NaN	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	49395.0234375	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	16372.5654296875	Filtered
A0A060ZCM2	Two component transcriptional regulator, wingedhelix family protein	33108.37890625	23006.6640625	37311.5859375	72316.09375	3893.18310546875	12108.4091796875	50365.390625	108369.953125	153725.875	29223.513671875	42717.375	61608.33203125	Filtered	Filtered	Filtered	71222.390625	114061.375	216537.125
A0A060ZCM3	Large secreted protein	24198.27734375	62072.9921875	184586.46875	24746.08984375	10099.828125	15962.6982421875	31041.048828125	11498.23046875	19098.234375	41677.16796875	31092.220703125	30816.599609375	914206.4375	157981.828125	131041.7421875	4655.3984375	12866.208984375	29960.724609375
A0A060ZCM6	Thymidylate kinase	52452.8359375	28938.529296875	15451.31640625	Filtered	Filtered	10835.7724609375	5298.31640625	7432.76416015625	2885.448486328125	Filtered	Filtered	Filtered	Filtered	Filtered	Filtered	17429.380859375	15083.7294921875	Filtered
